#       x-coordinate        y-coordinate
            0.265427           -0.269955
            0.268631            -0.27235
            0.271816            -0.27477
             0.27498           -0.277217
            0.278108           -0.279711
            0.281195           -0.282254
            0.284232           -0.284858
            0.287214           -0.287524
            0.290134           -0.290257
            0.292982           -0.293066
            0.295748           -0.295956
            0.298424           -0.298929
            0.301032           -0.301962
            0.303566           -0.305056
            0.306029           -0.308208
            0.308422           -0.311413
            0.310741           -0.314673
            0.313008           -0.317968
            0.315228           -0.321295
            0.317402           -0.324653
            0.319532           -0.328039
            0.321617           -0.331453
            0.323663           -0.334889
            0.325676           -0.338346
            0.327675            -0.34181
            0.329662           -0.345282
             0.33165           -0.348753
             0.33365           -0.352217
            0.335694           -0.355656
            0.337837           -0.359034
            0.340096           -0.362334
            0.342534           -0.365506
             0.34524           -0.368451
            0.348333           -0.370988
            0.351911           -0.372777
            0.355868           -0.373352
            0.359738           -0.372339
            0.362995           -0.370016
            0.365643           -0.367018
             0.36771           -0.363594
            0.369323           -0.359934
            0.370612           -0.356147
            0.371558           -0.352261
            0.372207           -0.348314
            0.372661           -0.344339
            0.372935           -0.340349
            0.373051            -0.33635
            0.373007            -0.33235
            0.372818           -0.328355
             0.37253           -0.324366
            0.372156           -0.320383
            0.371658           -0.316414
            0.371112           -0.312451
             0.37052           -0.308496
            0.369831           -0.304555
            0.369124           -0.300618
            0.368395           -0.296685
             0.36763            -0.29276
            0.366848           -0.288837
            0.366042           -0.284918
            0.365222           -0.281003
            0.364393           -0.277091
            0.363551            -0.27318
             0.36271           -0.269269
            0.361869           -0.265359
            0.361027           -0.261448
            0.360175            -0.25754
            0.359315           -0.253634
            0.358438           -0.249732
             0.35756           -0.245829
            0.356682           -0.241926
             0.35579           -0.238027
            0.354895           -0.234129
            0.353999            -0.23023
            0.353092           -0.226334
            0.352178           -0.222439
            0.351247            -0.21855
            0.350309           -0.214661
            0.349361           -0.210775
            0.348413           -0.206888
            0.347458           -0.203005
            0.346475           -0.199128
            0.345493            -0.19525
            0.344511           -0.191372
            0.343505           -0.187501
            0.342497            -0.18363
            0.341483           -0.179761
             0.34046           -0.175894
            0.339433           -0.172028
            0.338397           -0.168164
            0.337359           -0.164301
            0.336317           -0.160439
            0.335269           -0.156579
            0.334219           -0.152719
            0.333161           -0.148862
            0.332099           -0.145006
            0.331032            -0.14115
            0.329954           -0.137299
             0.32887           -0.133448
            0.327779             -0.1296
            0.326676           -0.125755
            0.325566           -0.121912
             0.32444           -0.118074
            0.323309           -0.114237
            0.322166           -0.110404
             0.32101           -0.106575
            0.319846           -0.102748
             0.31867          -0.0989241
            0.317481          -0.0951051
            0.316284          -0.0912882
            0.315074          -0.0874756
            0.313856          -0.0836651
             0.31263          -0.0798582
            0.311387           -0.076056
            0.310136          -0.0722574
            0.308872          -0.0684621
            0.307594          -0.0646714
            0.306308          -0.0608842
            0.305007          -0.0571019
            0.303694          -0.0533228
            0.302373          -0.0495479
            0.301035          -0.0457777
            0.299688          -0.0420114
            0.298333          -0.0382478
            0.296962            -0.03449
            0.295578          -0.0307372
            0.294184          -0.0269878
            0.292772          -0.0232455
            0.291345          -0.0195093
            0.289907           -0.015777
            0.288449          -0.0120512
             0.28698         -0.00833089
            0.285497         -0.00461611
            0.283996        -0.000908687
            0.282478          0.00279298
            0.280949          0.00648912
            0.279398           0.0101762
            0.277831           0.0138557
            0.276251           0.0175303
             0.27465           0.0211966
            0.273029           0.0248534
            0.271392           0.0285035
            0.269738           0.0321444
            0.268058           0.0357747
            0.266365           0.0393991
            0.264656           0.0430151
             0.26292           0.0466196
            0.261164           0.0502133
             0.25939           0.0537987
            0.257596           0.0573735
            0.255772           0.0609337
            0.253927           0.0644825
             0.25206           0.0680201
             0.25016           0.0715396
            0.248226           0.0750418
            0.246267           0.0785285
            0.244281           0.0820006
            0.242255           0.0854505
            0.240199           0.0888804
            0.238111           0.0922932
            0.235996           0.0956876
            0.233842           0.0990574
            0.231654            0.102407
            0.229438            0.105737
            0.227193            0.109047
             0.22491            0.112332
            0.222585            0.115587
            0.220228            0.118819
            0.217838            0.122026
            0.215414            0.125209
            0.212949            0.128358
            0.210448             0.13148
             0.20792            0.134579
            0.205366            0.137658
             0.20279            0.140718
            0.200193             0.14376
            0.197583            0.146791
            0.194963            0.149815
            0.192337            0.152831
            0.189702            0.155841
            0.187059            0.158844
              0.1844            0.161832
            0.181718            0.164799
             0.17901            0.167743
             0.17627            0.170658
            0.173488            0.173532
            0.170642            0.176343
            0.167736            0.179092
            0.164761            0.181765
            0.161717             0.18436
            0.158603            0.186871
            0.155423            0.189297
            0.152183            0.191642
            0.148878            0.193897
            0.145534            0.196091
            0.142155            0.198232
            0.138749            0.200328
            0.135322            0.202392
            0.131875            0.204422

